OrgType,ReorganizationStatus,IDEKIS,FullName,ShortName,Number,INN,KPP,OGRN,LegalOrganization,Subordination,ChiefName,LegalAddress,InstitutionsAddresses,PublicPhone,Email,WebSite,EducationPrograms,EducationalServices,LicensingAndAccreditation,SupplementaryClassesAndGroups,NumberofStudentsInOO,TheContingentOfPreschoolersStudyingOO,global_id,geoData,geodata_center
профессиональная образовательная организация,действующее,11659,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Юридический колледж»,ГБПОУ Юридический колледж,,7737066359,772401001,1027700439777,бюджетное,Городское подчинение ДОНМ,Самойлов Георгий Владимирович,"115569, г. Москва, ул. Шипиловская, д.17, корп.1, стр.1",nested data,nested data,nested data,lawcol.mskobr.ru,Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,nested data,nested data,nested data,nested data,nested data,2682033421,"{coordinates=[[[37.707736015, 55.619602523], [37.707401276, 55.620239055], [37.707406998, 55.620305292], [37.708525658, 55.620478155], [37.708743096, 55.620038726], [37.708889008, 55.620062959], [37.709086419, 55.619646143], [37.708771706, 55.619596061], [37.708691597, 55.619752771], [37.707736015, 55.619602523]]], type=Polygon}",
профессиональная образовательная организация,действующее,12748,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Политехнический колледж им. Н.Н. Годовикова»,ГБПОУ ПК им. Н.Н. Годовикова,,7743937357,774301001,1147746963198,бюджетное,Городское подчинение ДОНМ,Михайлов Сергей Владимирович,"125130, г. Москва, ул. Зои и Александра Космодемьянских, д. 19",nested data,nested data,nested data,pkgodovikov.mskobr.ru,Профессиональное обучение # Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,nested data,nested data,nested data,nested data,nested data,2682033422,"{coordinates=[[[[37.516463206, 55.823564594], [37.516457841, 55.823646129], [37.516919181, 55.823771452], [37.516940639, 55.823741253], [37.516964779, 55.823751823], [37.517069385, 55.823745783], [37.517080114, 55.823730684], [37.51713644, 55.823745783], [37.51764606, 55.823159934], [37.517659471, 55.823084437], [37.517616556, 55.823072357], [37.517605827, 55.823054238], [37.517560229, 55.82300894], [37.517562912, 55.822981761], [37.517117665, 55.822847376], [37.517009035, 55.822960622], [37.517010377, 55.823039139], [37.517294691, 55.823108596], [37.517192767, 55.823224861], [37.516916499, 55.823155404], [37.516791776, 55.823287523], [37.516801164, 55.823365284], [37.517015741, 55.823427191], [37.516924546, 55.823538925], [37.516570494, 55.82344984], [37.516463206, 55.823564594]]], [[[37.515778542, 55.822585524], [37.515675545, 55.822702849], [37.515678406, 55.822768744], [37.516377926, 55.822949553], [37.516475201, 55.822824996], [37.516476631, 55.822768744], [37.515778542, 55.822585524]]], [[[37.516401949, 55.823071002], [37.516333901, 55.823150244], [37.516332907, 55.823168381], [37.516408903, 55.823187913], [37.516476455, 55.823106717], [37.516471985, 55.823087743], [37.516401949, 55.823071002]]], [[[37.515313402, 55.823126979], [37.515184656, 55.823283009], [37.515182272, 55.823308456], [37.515880838, 55.823490602], [37.516014352, 55.823328546], [37.516010776, 55.823307786], [37.515313402, 55.823126979]]], [[[37.514884807, 55.824595414], [37.514775842, 55.82470559], [37.514770813, 55.824742315], [37.515131235, 55.824831773], [37.515141293, 55.824881681], [37.515473217, 55.824967372], [37.515811845, 55.824562456], [37.515810169, 55.824503131], [37.515496686, 55.82441838], [37.515265495, 55.824694114], [37.514884807, 55.824595414]]], [[[37.496810878, 55.816273012], [37.497389043, 55.816424548], [37.49747696, 55.816323245], [37.497474924, 55.816163257], [37.496892835, 55.816011799], [37.496851111, 55.816061195], [37.496681238, 55.816016822], [37.496643985, 55.816064544], [37.496465171, 55.816016822], [37.49644282, 55.816046125], [37.496271456, 55.816000078], [37.496185029, 55.816105568], [37.496381725, 55.81615915], [37.496313179, 55.816247058], [37.496517325, 55.816301478], [37.496641005, 55.816156638], [37.496766175, 55.816187616], [37.496797467, 55.816149941], [37.496810878, 55.816273012]]]], type=MultiPolygon}",
профессиональная образовательная организация,действующее,12857,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Политехнический техникум № 47 имени В.Г. Федорова»,ГБПОУ ПТ № 47,47.0,7733536758,773301001,1057746107308,бюджетное,Городское подчинение ДОНМ,Еремина Наталья Викторовна,"125371, г. Москва, Волоколамское шоссе, д. 112, корп. 3",nested data,nested data,nested data,politech47.mskobr.ru,Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,nested data,nested data,nested data,nested data,nested data,2682033423,"{coordinates=[[[[37.442564517, 55.838995631], [37.442757636, 55.838976888], [37.442712337, 55.838773395], [37.443303615, 55.83872386], [37.443348914, 55.838901917], [37.443639785, 55.838879158], [37.443489581, 55.838257962], [37.443196326, 55.838286077], [37.443265468, 55.838557851], [37.442681342, 55.838612741], [37.442638427, 55.838444054], [37.442602888, 55.838445728], [37.442597896, 55.838418617], [37.44280532, 55.838402552], [37.442779094, 55.838268673], [37.442392856, 55.838298126], [37.442426235, 55.838429327], [37.442464381, 55.83842665], [37.442473918, 55.838454764], [37.442431226, 55.838457777], [37.442564517, 55.838995631]]], [[[37.42293811, 55.830512458], [37.422610284, 55.830410913], [37.422506969, 55.830500184], [37.422506969, 55.830550398], [37.423259975, 55.830783617], [37.423351369, 55.830693231], [37.423351369, 55.830645248], [37.423043411, 55.830545935], [37.423126858, 55.830458896], [37.423371237, 55.830529197], [37.423377197, 55.830563789], [37.423526209, 55.830606193], [37.423703036, 55.830437694], [37.423703036, 55.830414261], [37.423559985, 55.830372973], [37.423522235, 55.830409797], [37.423257988, 55.830327221], [37.423399052, 55.83019443], [37.423836153, 55.830332801], [37.423965297, 55.830222327], [37.42396331, 55.830172112], [37.423019569, 55.829869704], [37.422896386, 55.82998241], [37.422904334, 55.830037089], [37.42328779, 55.830159837], [37.423154673, 55.830298208], [37.422826848, 55.830192198], [37.422729494, 55.830280354], [37.422729494, 55.830331685], [37.42303149, 55.830427651], [37.42293811, 55.830512458]]]], type=MultiPolygon}",
профессиональная образовательная организация,действующее,13561,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский образовательный комплекс ЗАПАД»,ГБПОУ МОК ЗАПАД,,7729434070,773101001,1057729005443,бюджетное,Городское подчинение ДОНМ,Мельникова Анна Витальевна,"121359, ГОРОД МОСКВА, УЛИЦА БОБРУЙСКАЯ, ДОМ 23",nested data,nested data,nested data,zapad.mskobr.ru,Профессиональное обучение # Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,nested data,nested data,nested data,nested data,nested data,2682033424,"{coordinates=[[[[37.487849236, 55.737949731], [37.487850666, 55.738023018], [37.487952232, 55.738050399], [37.488016605, 55.738071338], [37.488229752, 55.738132545], [37.48833704, 55.738159926], [37.488482952, 55.738201804], [37.488604546, 55.738056037], [37.488610268, 55.737985972], [37.487980843, 55.737805574], [37.487849236, 55.737949731]]], [[[37.433615774, 55.729976806], [37.433617115, 55.729770645], [37.432911694, 55.729773666], [37.432914376, 55.730160312], [37.433080673, 55.730158801], [37.433079332, 55.729980582], [37.433615774, 55.729976806]]], [[[37.410232385, 55.736358699], [37.410047611, 55.73644483], [37.410047611, 55.736514182], [37.410570145, 55.7368766], [37.41076088, 55.736788233], [37.410756906, 55.736711052], [37.410232385, 55.736358699]]], [[[37.413326204, 55.860454835], [37.413323522, 55.860411182], [37.413177341, 55.860393871], [37.413198799, 55.860349465], [37.413193434, 55.860304306], [37.41225332, 55.86020571], [37.412234545, 55.860257642], [37.412139326, 55.860247105], [37.412117869, 55.86029979], [37.412115186, 55.860356239], [37.412196994, 55.860364518], [37.412136644, 55.860538378], [37.412040085, 55.860530099], [37.41202265, 55.860586547], [37.412018627, 55.860640737], [37.412097752, 55.860646758], [37.412100434, 55.860691916], [37.413045913, 55.860790512], [37.413079441, 55.860703206], [37.413233668, 55.860718259], [37.413326204, 55.860454835]], [[37.412335128, 55.860579021], [37.412407547, 55.860356239], [37.412829995, 55.860405161], [37.41275087, 55.860624932], [37.412335128, 55.860579021]]], [[[37.394934297, 55.793230817], [37.395792603, 55.793262482], [37.395814061, 55.793083043], [37.395462692, 55.793069472], [37.395486832, 55.792844795], [37.395033538, 55.792835748], [37.395006716, 55.793052886], [37.394762635, 55.793045346], [37.394768, 55.792998601], [37.3938936, 55.792971459], [37.393877506, 55.793165977], [37.394609749, 55.793190104], [37.394542694, 55.793802302], [37.394872606, 55.793812857], [37.394934297, 55.793230817]]], [[[37.394933859, 55.736935885], [37.394796768, 55.736997406], [37.394790808, 55.73704886], [37.39546434, 55.737505231], [37.395605405, 55.737433644], [37.395607391, 55.737385546], [37.394933859, 55.736935885]]], [[[37.394117275, 55.738825099], [37.393874883, 55.738661796], [37.393654346, 55.738760225], [37.393648385, 55.738800492], [37.394331852, 55.739252369], [37.394548415, 55.739151704], [37.394550402, 55.739110319], [37.394256353, 55.738923528], [37.394635836, 55.738737855], [37.394852399, 55.738870958], [37.394876241, 55.738856418], [37.395061015, 55.738981691], [37.395353078, 55.738845233], [37.395343144, 55.738810559], [37.39520208, 55.738709892], [37.395049094, 55.738780359], [37.394518613, 55.738423551], [37.394369601, 55.738498492], [37.394369601, 55.738552181], [37.394504705, 55.738641663], [37.394117275, 55.738825099]]], [[[37.498774499, 55.774369778], [37.498574942, 55.774505554], [37.498571724, 55.774576609], [37.498721391, 55.774646307], [37.498802662, 55.774591545], [37.498986125, 55.77467663], [37.498966008, 55.774689302], [37.498967618, 55.774759905], [37.49911648, 55.774829602], [37.499320865, 55.77469066], [37.499321669, 55.774620962], [37.498774499, 55.774369778]]]], type=MultiPolygon}",
профессиональная образовательная организация,действующее,12872,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж автоматизации и информационных технологий № 20»,ГБПОУ КАИТ № 20,20.0,7719286104,771901001,1057719027013,бюджетное,Городское подчинение ДОНМ,Кожан Виктория Игоревна,"105037, ГОРОД МОСКВА, УЛИЦА 1-Я ПАРКОВАЯ, ДОМ 12",nested data,nested data,nested data,kait20.mskobr.ru,Профессиональное обучение # Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,nested data,nested data,nested data,nested data,nested data,2682033425,"{coordinates=[[[[37.779991403, 55.799392017], [37.779983059, 55.799595046], [37.780719772, 55.799601077], [37.780723348, 55.799398718], [37.779991403, 55.799392017]]], [[[37.796011716, 55.809771464], [37.796682268, 55.809791059], [37.796715796, 55.809352447], [37.796580344, 55.809347926], [37.796564251, 55.809583058], [37.796015739, 55.809567232], [37.796011716, 55.809771464]]], [[[37.778416263, 55.791070521], [37.778301027, 55.791054883], [37.778247383, 55.791155414], [37.77824937, 55.79121685], [37.778563288, 55.791262647], [37.778787798, 55.790777862], [37.778785812, 55.790720893], [37.778459973, 55.790678446], [37.77841825, 55.790781213], [37.778420236, 55.790833713], [37.778525538, 55.790849351], [37.778416263, 55.791070521]]], [[[37.571784407, 55.785748716], [37.57204324, 55.785640127], [37.57204324, 55.785580554], [37.571657002, 55.785290227], [37.57190913, 55.785183899], [37.571803182, 55.785100194], [37.571286857, 55.785317375], [37.571284175, 55.78537167], [37.571458519, 55.785502128], [37.571588606, 55.785448587], [37.57169053, 55.785527767], [37.571611404, 55.785561701], [37.571611404, 55.785619766], [37.571784407, 55.785748716]]], [[[37.727132806, 55.767043669], [37.727307149, 55.767092289], [37.727410712, 55.766980379], [37.727499977, 55.767007668], [37.727823475, 55.766654706], [37.72782422, 55.766583871], [37.727778771, 55.766570039], [37.72782869, 55.766512616], [37.727823475, 55.766443457], [37.727655091, 55.766397351], [37.727546313, 55.76651094], [37.727553764, 55.766578422], [37.727599957, 55.766592254], [37.727337697, 55.766889426], [37.727237859, 55.766859667], [37.727129826, 55.766977864], [37.727132806, 55.767043669]]], [[[37.707492113, 55.816292021], [37.707307041, 55.81627243], [37.707095146, 55.816337231], [37.706958354, 55.81630257], [37.70662576, 55.81705606], [37.70662576, 55.817117845], [37.707001269, 55.817392111], [37.707140744, 55.817408688], [37.707492113, 55.816292021]]], [[[37.788225052, 55.804756935], [37.788207171, 55.80513491], [37.788368103, 55.805136585], [37.788382011, 55.804959043], [37.78892342, 55.804967976], [37.788931367, 55.804764193], [37.788225052, 55.804756935]]]], type=MultiPolygon}",
профессиональная образовательная организация,действующее,11748,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский автомобильно-дорожный колледж им. А.А. Николаева»,ГБПОУ МАДК им. А.А. Николаева,,7701050524,770101001,1027739771179,бюджетное,Городское подчинение ДОНМ,Фомин Роман Александрович,"105082, ГОРОД МОСКВА, УЛИЦА БАКУНИНСКАЯ, ДОМ 81",nested data,nested data,nested data,madk.mskobr.ru,Профессиональное обучение # Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,nested data,nested data,nested data,nested data,nested data,2682033426,"{coordinates=[[[[37.534810156, 55.812284717], [37.534819543, 55.812224431], [37.534769922, 55.812092555], [37.533825785, 55.812200317], [37.533819079, 55.812231967], [37.533723861, 55.812243271], [37.533714473, 55.812215388], [37.533233017, 55.812269646], [37.533238381, 55.812326917], [37.533282638, 55.812458039], [37.534810156, 55.812284717]]], [[[37.581281215, 55.804362334], [37.581281215, 55.804426652], [37.581543475, 55.804456131], [37.581586391, 55.804281936], [37.581703216, 55.804280596], [37.581786662, 55.804055481], [37.581784278, 55.803983123], [37.581867725, 55.803692347], [37.581510097, 55.803653488], [37.581281215, 55.804362334]]], [[[37.69285803, 55.781491588], [37.692983199, 55.781471477], [37.693048764, 55.781415612], [37.692862003, 55.781446896], [37.69285803, 55.781491588]]], [[[37.692357928, 55.781854964], [37.692546676, 55.78185664], [37.692557007, 55.781740818], [37.692624062, 55.781741656], [37.692630023, 55.781598364], [37.692363292, 55.78159585], [37.692357928, 55.781854964]]], [[[37.693527088, 55.781483113], [37.693500266, 55.781514856], [37.693411753, 55.781590433], [37.69355391, 55.781652407], [37.693502948, 55.78169473], [37.693502948, 55.781734031], [37.693663881, 55.781806585], [37.693773851, 55.781726473], [37.694047437, 55.781836816], [37.694785044, 55.781289633], [37.694951341, 55.781353119], [37.695286617, 55.781106734], [37.695283935, 55.781061386], [37.694316925, 55.780646227], [37.693638326, 55.781160164], [37.693606139, 55.781143537], [37.693434478, 55.781267486], [37.693445207, 55.781321902], [37.693689288, 55.781429223], [37.693850221, 55.781309809], [37.693863632, 55.781288647], [37.694375933, 55.780907731], [37.694689752, 55.781046796], [37.693893136, 55.781637817], [37.693527088, 55.781483113]]], [[[37.532427653, 55.811884562], [37.532420202, 55.812049234], [37.532422189, 55.812061793], [37.532617891, 55.812063189], [37.532621827, 55.81188444], [37.532427653, 55.811884562]]], [[[37.692072819, 55.78157676], [37.692309251, 55.781534862], [37.69225362, 55.781414753], [37.692017188, 55.781456093], [37.692072819, 55.78157676]]], [[[37.693864932, 55.781880661], [37.693857978, 55.782016411], [37.694707345, 55.78203317], [37.694715292, 55.781822563], [37.694524557, 55.781822004], [37.694521577, 55.781892952], [37.693864932, 55.781880661]]], [[[37.692759266, 55.781722008], [37.692999572, 55.781812045], [37.693072587, 55.781753387], [37.69310239, 55.781765957], [37.693313986, 55.781596688], [37.693315476, 55.781544734], [37.693421275, 55.781584957], [37.693562836, 55.781473507], [37.693561346, 55.781415687], [37.693196267, 55.78127407], [37.693053216, 55.7813939], [37.693062157, 55.78145591], [37.69276324, 55.78170022], [37.692759266, 55.781722008]]], [[[37.69263722, 55.781553203], [37.692627683, 55.78171141], [37.692698538, 55.781713799], [37.692707554, 55.781555214], [37.69263722, 55.781553203]]], [[[37.691600949, 55.781699662], [37.691876124, 55.781708041], [37.691887051, 55.781610279], [37.691608896, 55.781638211], [37.691600949, 55.781699662]]], [[[37.692916759, 55.782000295], [37.693846591, 55.782015797], [37.693853011, 55.78188122], [37.692919739, 55.781860356], [37.692916759, 55.782000295]]], [[[37.683570161, 55.776417137], [37.683566585, 55.776489546], [37.683748975, 55.776575365], [37.684029117, 55.77637892], [37.684029117, 55.776362159], [37.684123293, 55.776293101], [37.6841221, 55.7762341], [37.683821693, 55.776101348], [37.683715597, 55.776177781], [37.683716789, 55.776230748], [37.683781162, 55.776259578], [37.683570161, 55.776417137]]], [[[37.691352596, 55.781825915], [37.692155309, 55.781853652], [37.692169465, 55.781703657], [37.691364058, 55.781680194], [37.691352596, 55.781825915]]], [[[37.532559872, 55.811742642], [37.533257961, 55.811753092], [37.533263683, 55.811523197], [37.532564163, 55.811513551], [37.532559872, 55.811742642]]], [[[37.6835078, 55.775936413], [37.683392465, 55.775879088], [37.682933807, 55.776218512], [37.682944536, 55.77634523], [37.683062553, 55.776401046], [37.683078647, 55.776382943], [37.683220804, 55.77644781], [37.68366605, 55.776114422], [37.683505118, 55.776048046], [37.6835078, 55.775936413]]], [[[37.692633644, 55.78154851], [37.692707554, 55.781551862], [37.692860141, 55.781526388], [37.692863718, 55.781490858], [37.692963854, 55.781475439], [37.693036571, 55.781415106], [37.692690864, 55.781480132], [37.69265987, 55.781468736], [37.692633644, 55.781472758], [37.692633644, 55.78154851]]], [[[37.692402631, 55.78185664], [37.691938709, 55.781849378], [37.691931755, 55.781910828], [37.692397664, 55.781921442], [37.692402631, 55.78185664]]], [[[37.694521577, 55.780935432], [37.694142094, 55.781191853], [37.6941411, 55.781210847], [37.694264283, 55.781269505], [37.694657674, 55.781000794], [37.694521577, 55.780935432]]], [[[37.692390748, 55.781974737], [37.692921229, 55.781984373], [37.692925165, 55.781861109], [37.692398198, 55.781852814], [37.692390748, 55.781974737]]], [[[37.533129224, 55.811877194], [37.533129224, 55.811945296], [37.533148031, 55.812048241], [37.534429531, 55.811904224], [37.534286481, 55.811455421], [37.534076938, 55.811477514], [37.53418224, 55.811757737], [37.533129224, 55.811877194]]], [[[37.564387889, 55.884526106], [37.564310403, 55.885138985], [37.564636242, 55.885153471], [37.564664057, 55.884943979], [37.56508725, 55.884962923], [37.565073343, 55.885092184], [37.565196526, 55.885096641], [37.565182618, 55.885223673], [37.565574022, 55.885233702], [37.565587929, 55.885099984], [37.565448852, 55.885093298], [37.565522364, 55.884494905], [37.565275998, 55.884487104], [37.565236262, 55.884751201], [37.56469386, 55.884732257], [37.564715715, 55.884533907], [37.564387889, 55.884526106]]], [[[37.572378159, 55.882920401], [37.572401047, 55.882775175], [37.571824551, 55.882739871], [37.571770191, 55.883016683], [37.572342396, 55.883052789], [37.57235527, 55.882983787], [37.572433949, 55.882989403], [37.572379589, 55.883254178], [37.572378159, 55.88332318], [37.572669983, 55.883339227], [37.572751522, 55.882930831], [37.572750092, 55.882859422], [37.572455406, 55.882844979], [37.572441101, 55.882926017], [37.572378159, 55.882920401]]]], type=MultiPolygon}",
профессиональная образовательная организация,действующее,11708,"Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский колледж управления, гостиничного бизнеса и информационных технологий «Царицыно»",ГБПОУ колледж «Царицыно»,,7737057354,772401001,1037739222070,бюджетное,Городское подчинение ДОНМ,Седова Наталья Николаевна,"115569, г. Москва, Шипиловский проезд, дом 37, корпус 1",nested data,nested data,nested data,collegetsaritsyno.mskobr.ru,Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,nested data,nested data,nested data,nested data,nested data,2682033428,"{coordinates=[[[[37.714445582, 55.623873839], [37.715168953, 55.623996643], [37.715616814, 55.623096421], [37.714861325, 55.622962642], [37.714441112, 55.623825882], [37.714445582, 55.623873839]]], [[[37.696383141, 55.613468178], [37.696852527, 55.613543289], [37.696915112, 55.613413896], [37.696921818, 55.613370344], [37.695890285, 55.613204974], [37.695828817, 55.613321743], [37.695829935, 55.613379181], [37.696262441, 55.613448611], [37.696190357, 55.613589267], [37.695841111, 55.613535083], [37.695793055, 55.613646802], [37.695791937, 55.613682148], [37.696613364, 55.613810909], [37.696664773, 55.613714339], [37.696668125, 55.613664475], [37.696314968, 55.613609563], [37.696383141, 55.613468178]]], [[[37.715972206, 55.62112203], [37.715963266, 55.621128341], [37.715851507, 55.62138455], [37.715898446, 55.621390861], [37.715829155, 55.621515809], [37.715525171, 55.621457752], [37.715230128, 55.622032008], [37.715212247, 55.622102685], [37.715500585, 55.622145596], [37.715458116, 55.622235204], [37.715406707, 55.622227631], [37.715265891, 55.622495192], [37.715277067, 55.622540627], [37.71569281, 55.622606255], [37.715851507, 55.622298308], [37.71582245, 55.62229326], [37.715871623, 55.622207438], [37.716153255, 55.622247825], [37.716459474, 55.621650855], [37.71647065, 55.621614254], [37.716191253, 55.621575128], [37.716247133, 55.621443869], [37.716294071, 55.621452704], [37.716403595, 55.621221737], [37.716419241, 55.62118766], [37.715972206, 55.62112203]], [[37.716115257, 55.621643282], [37.715900681, 55.622076181], [37.715585521, 55.622029484], [37.715820214, 55.62159406], [37.716115257, 55.621643282]]]], type=MultiPolygon}",
организация дополнительного образования,действующее,13452,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «На Стопани»,ГБОУ ДО ДТДиМ «На Стопани»,,7701113894,770101001,1037739488434,бюджетное,Городское подчинение ДОНМ,Егорова Ирина Григорьевна,"101000, ГОРОД МОСКВА, ПЕРЕУЛОК ОГОРОДНАЯ СЛОБОДА, 6, 1",nested data,nested data,nested data,na-stopani.mskobr.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,nested data,nested data,nested data,nested data,nested data,2682819042,"{coordinates=[[[[37.65008348, 55.770070556], [37.650103348, 55.770287373], [37.650166926, 55.770348842], [37.650309977, 55.770370076], [37.65055237, 55.770295197], [37.65055237, 55.770271727], [37.65063979, 55.770241551], [37.65064575, 55.770077262], [37.650087453, 55.769411156], [37.65008944, 55.769347451], [37.64992056, 55.769159687], [37.649694063, 55.76922004], [37.649690089, 55.769303863], [37.649556972, 55.769346333], [37.649535117, 55.769310569], [37.649394053, 55.769347451], [37.649386105, 55.769313922], [37.649042385, 55.769401097], [37.649026491, 55.769437979], [37.648937084, 55.769462567], [37.648939071, 55.769490508], [37.648778138, 55.769539684], [37.64872052, 55.769474861], [37.648484088, 55.769529625], [37.648480115, 55.769683858], [37.648625153, 55.769877208], [37.649137753, 55.770452779], [37.649153647, 55.770484072], [37.649245041, 55.770601421], [37.649300672, 55.770586892], [37.649316567, 55.770607009], [37.649588761, 55.770543305], [37.649610616, 55.770512013], [37.64966426, 55.770499719], [37.649678168, 55.770455015], [37.649684128, 55.770295197], [37.649624524, 55.770220317], [37.649590748, 55.770231493], [37.649584788, 55.770202435], [37.649366237, 55.770259433], [37.648988741, 55.76978221], [37.649018543, 55.769774386], [37.649179476, 55.76994203], [37.649254975, 55.769982264], [37.649298685, 55.770033675], [37.649366237, 55.769964382], [37.649421868, 55.769927501], [37.649437763, 55.769881678], [37.649509288, 55.769859326], [37.649552998, 55.769777739], [37.649666247, 55.769749798], [37.649684129, 55.769591095], [37.649821219, 55.769556449], [37.650204676, 55.770028087], [37.65008348, 55.770070556]]], [[[37.643078864, 55.765109507], [37.643124461, 55.765068764], [37.64313519, 55.76504613], [37.642638981, 55.764892214], [37.642590702, 55.764932956], [37.642585337, 55.764969172], [37.642617524, 55.764976717], [37.642488778, 55.76510498], [37.642445862, 55.765092908], [37.642062306, 55.765476941], [37.642060965, 55.765504102], [37.642398924, 55.765610483], [37.64253974, 55.765467132], [37.642537057, 55.765433935], [37.642436475, 55.765408283], [37.642557174, 55.765279266], [37.642597407, 55.765294356], [37.642695308, 55.765197027], [37.642693967, 55.76517062], [37.642669827, 55.765162321], [37.642809302, 55.765026513], [37.643078864, 55.765109507]]]], type=MultiPolygon}",
организация дополнительного образования,действующее,13461,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр эстетического воспитания детей»,ГБОУДО ЦЭВД,,7709366858,770901001,1037739497399,бюджетное,Городское подчинение ДОНМ,Синельщикова Светлана Валерьевна,"109028, ГОРОД МОСКВА, БУЛЬВАР ПОКРОВСКИЙ, ДОМ 10, СТР 1",nested data,nested data,nested data,cevdcao.mskobr.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,nested data,nested data,nested data,nested data,nested data,2684890448,"{coordinates=[[[[37.704436555, 55.774036256], [37.70443894, 55.774169015], [37.704224363, 55.774240088], [37.704226747, 55.774292387], [37.705074325, 55.775129159], [37.705323473, 55.775050042], [37.705330625, 55.77486834], [37.704475895, 55.774022846], [37.704436555, 55.774036256]]], [[[37.64680607, 55.755970262], [37.646701296, 55.75606318], [37.646682856, 55.756115063], [37.646785954, 55.756152324], [37.646917589, 55.756037663], [37.64691755, 55.756007052], [37.64680607, 55.755970262]]], [[[37.646637447, 55.756706121], [37.646613605, 55.75675509], [37.646615393, 55.756789636], [37.647046335, 55.756844306], [37.647071965, 55.75679299], [37.647067793, 55.756764481], [37.646637447, 55.756706121]]], [[[37.647351623, 55.755747829], [37.647352964, 55.755778771], [37.647431139, 55.755778645], [37.647429947, 55.755747955], [37.647351623, 55.755747829]]]], type=MultiPolygon}",
организация дополнительного образования,действующее,12921,"Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Московский детско-юношеский центр экологии, краеведения и туризма»",ГБОУДО МДЮЦ ЭКТ,,7727847191,772701001,5147746283779,бюджетное,Городское подчинение ДОНМ,Моргун Дмитрий Владимирович,"117303, ГОРОД МОСКВА, УЛИЦА ОДЕССКАЯ, ДОМ 12А",nested data,nested data,nested data,mducekt.mskobr.ru,Профессиональное обучение # Общее образование | дошкольное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,nested data,nested data,nested data,nested data,nested data,2684920863,"{coordinates=[[[[37.558808237, 55.800763945], [37.558700949, 55.800870883], [37.558705241, 55.800898221], [37.558805376, 55.800927971], [37.558811099, 55.800780026], [37.558808237, 55.800763945]]], [[[37.55905526, 55.800520442], [37.558822802, 55.800751608], [37.558812868, 55.800966021], [37.559031418, 55.801030791], [37.559261889, 55.800798511], [37.559271823, 55.800588564], [37.55905526, 55.800520442]]], [[[37.49561049, 55.702472311], [37.495208755, 55.702700028], [37.495208755, 55.702732942], [37.495437637, 55.702859899], [37.495840564, 55.702632183], [37.49583818, 55.70259994], [37.49561049, 55.702472311]]], [[[37.589906231, 55.657604377], [37.589865699, 55.657792005], [37.589967027, 55.657800075], [37.58997418, 55.657757035], [37.59085156, 55.657815543], [37.590844408, 55.65785522], [37.590943351, 55.657861945], [37.590985075, 55.657670283], [37.589906231, 55.657604377]]], [[[37.586973337, 55.602464392], [37.587083605, 55.602372634], [37.586909262, 55.602302763], [37.586936084, 55.602280034], [37.587000159, 55.602304447], [37.587383119, 55.601976137], [37.587325004, 55.60195425], [37.587342885, 55.601939097], [37.587508288, 55.602002234], [37.587620047, 55.601909633], [37.58714172, 55.601725273], [37.587035922, 55.601821241], [37.587251988, 55.601902898], [37.587094195, 55.602036842], [37.586874989, 55.601955091], [37.58675727, 55.602051901], [37.586979297, 55.602138609], [37.586825815, 55.602270774], [37.586597827, 55.602189118], [37.586489049, 55.60228256], [37.586973337, 55.602464392]]]], type=MultiPolygon}",
